file,unix_ts,local_dt,local_tm,column,original_value,recovered_value,method,source_hour_unix_ts,source_samples,confidence,notes
energy_hourly.csv,1514444400,2017-12-27,23:00:00,utility,,310,ihd_hourly_mean_round10,1514440800,451,high,Main-model cross-check=310 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514448000,2017-12-28,00:00:00,utility,,160,ihd_hourly_mean_round10,1514444400,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514451600,2017-12-28,01:00:00,utility,,150,ihd_hourly_mean_round10,1514448000,450,high,Main-model cross-check=150 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514455200,2017-12-28,02:00:00,utility,,160,ihd_hourly_mean_round10,1514451600,450,high,Main-model cross-check=150 Wh; delta=10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514458800,2017-12-28,03:00:00,utility,,160,ihd_hourly_mean_round10,1514455200,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514462400,2017-12-28,04:00:00,utility,,160,ihd_hourly_mean_round10,1514458800,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514466000,2017-12-28,05:00:00,utility,,160,ihd_hourly_mean_round10,1514462400,448,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514469600,2017-12-28,06:00:00,utility,,160,ihd_hourly_mean_round10,1514466000,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514473200,2017-12-28,07:00:00,utility,,570,ihd_hourly_mean_round10,1514469600,451,high,Main-model cross-check=570 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514476800,2017-12-28,08:00:00,utility,,430,ihd_hourly_mean_round10,1514473200,450,high,Main-model cross-check=430 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514480400,2017-12-28,09:00:00,utility,,430,ihd_hourly_mean_round10,1514476800,450,high,Main-model cross-check=430 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514484000,2017-12-28,10:00:00,utility,,370,ihd_hourly_mean_round10,1514480400,450,high,Main-model cross-check=380 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514487600,2017-12-28,11:00:00,utility,,370,ihd_hourly_mean_round10,1514484000,450,high,Main-model cross-check=370 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514491200,2017-12-28,12:00:00,utility,,300,ihd_hourly_mean_round10,1514487600,450,high,Main-model cross-check=300 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514494800,2017-12-28,13:00:00,utility,,410,ihd_hourly_mean_round10,1514491200,449,high,Main-model cross-check=410 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514498400,2017-12-28,14:00:00,utility,,470,ihd_hourly_mean_round10,1514494800,450,high,Main-model cross-check=470 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514502000,2017-12-28,15:00:00,utility,,420,ihd_hourly_mean_round10,1514498400,450,high,Main-model cross-check=430 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514505600,2017-12-28,16:00:00,utility,,270,ihd_hourly_mean_round10,1514502000,450,high,Main-model cross-check=270 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514509200,2017-12-28,17:00:00,utility,,250,ihd_hourly_mean_round10,1514505600,450,high,Main-model cross-check=250 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514512800,2017-12-28,18:00:00,utility,,360,ihd_hourly_mean_round10,1514509200,450,high,Main-model cross-check=360 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514516400,2017-12-28,19:00:00,utility,,320,ihd_hourly_mean_round10,1514512800,450,high,Main-model cross-check=320 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
